"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_s","ooh_s","print_s","facebook_s","search_s","cluster","top_sol"
"1","2_463_3",0,0.316949352595034,0.0695522095582091,NA,0.0695522095582091,0.317276794083431,0.329333517297016,0.62123340875663,0.435122784486268,0.197194669176536,6,FALSE
"2","2_546_2",0,0.259211381532806,0.0706706239092713,NA,0.0706706239092713,0.206561922689498,0.464161155464512,1,0.0584779281262484,0.294041915520511,3,FALSE
"3","2_576_2",0,0.272451327262228,0.0702534323059911,NA,0.0702534323059911,0.178015140805844,0.324643962524405,0.514706103388664,0.427347626879975,0.161057186820741,6,FALSE
"4","2_579_1",0,0.252574783973185,0.0707060473312653,NA,0.0707060473312653,0.153451009793169,0.374770647463522,0.517873733460415,0.311603900434244,0.265439351792953,6,FALSE
"5","2_615_3",0,0.524689960870536,0.0686727989469098,NA,0.0686727989469098,1,0,0.470270292458676,1,0.264069406010768,1,FALSE
"6","2_617_1",0,0.231667474226939,0.070950876493745,NA,0.070950876493745,0.120324990284573,0.431514386579619,0.842778836678137,0.0935722602692492,0.231961749916399,3,FALSE
"7","2_638_2",0,0.199432610229844,0.0714990921309637,NA,0.0714990921309637,0.09569533190229,0.371572903758174,0,0,0.274877042682094,5,TRUE
"8","2_647_1",0,0.36926717284007,0.0688797602923711,NA,0.0688797602923711,0.418835288080213,0.23946578626474,0.519254902251199,0.769497710438503,0.128306855944698,1,FALSE
"9","2_655_1",0,0.340073546672074,0.0692748466379969,NA,0.0692748466379969,0.40049181810984,0.377089159189163,0.407351704190777,0.615073138408251,0.238842188886334,1,FALSE
"10","2_657_1",0,0.395499465026567,0.068806090036367,NA,0.068806090036367,0.455622978017065,0.157284568786326,0.429473589510536,0.968166500902993,0.179525321488363,1,FALSE
"11","2_657_3",0,0.271644402046972,0.0703458261734883,NA,0.0703458261734883,0.256930985418857,0.458643657012266,0.788484633459344,0.0708475321762487,0.245305086584979,3,FALSE
"12","2_658_3",0,0.435509743298513,0.0686836165725849,NA,0.0686836165725849,0.707217522679522,0.272678729615476,0.569565673587322,0.93789814834919,0.465046630513074,1,FALSE
"13","4_603_3",0,0.167317456188706,0.0725806538805167,NA,0.0725806538805167,0,0.718265254764555,0.68116259691291,0.039092749786689,0.474438331815316,3,FALSE
"14","4_605_3",0,0.182708166429757,0.0722391770806954,NA,0.0722391770806954,0.00380618608022303,0.655859706676277,0.800454010738247,0.128740038019863,0.424427145485565,3,FALSE
"15","4_613_3",0,0.149818609708781,0.0726373341615663,NA,0.0726373341615663,0.000210452529197425,0.741947950568809,0.197062412169824,0.0609405711030165,0.537694643869494,2,FALSE
"16","4_617_2",0,0.199222019432067,0.0715637811451833,NA,0.0715637811451833,0.125649615669113,0.664394115055062,0.23965850634237,0.146831203269526,0.501869906674857,2,TRUE
"17","4_621_1",0,0.1742750089318,0.0723130674759924,NA,0.0723130674759924,0.0185643160786825,0.531224368820007,0.109479539088088,0.0946269203281724,0.531764339449878,2,FALSE
"18","4_649_3",0,0.188501167673234,0.0721819587081616,NA,0.0721819587081616,0.0143576051740046,0.573848030768863,0.51452918095757,0.200752856410551,0.45326946093947,6,FALSE
"19","4_661_1",0,0.188991089630765,0.0720686771674403,NA,0.0720686771674403,0.0163259107660055,0.720156841209897,0.584360664036164,0.241600178814548,0.633366016677052,4,FALSE
"20","4_663_3",0,0.158294538357025,0.0725863899588054,NA,0.0725863899588054,0.000121650308322239,0.728016489405797,0.19268748326236,0.12839799405095,0.573507017429915,2,FALSE
"21","5_428_1",0,0.230060713351509,0.0711695933275347,NA,0.0711695933275347,0.0862903515687209,0.359173601535636,0.506886247796781,0.234802417872198,0.35028642771136,6,FALSE
"22","5_465_3",0,0.251479876262705,0.0707977217342153,NA,0.0707977217342153,0.134476883951409,0.369978854747174,0.663869891496764,0.322542932606773,0.242349251040335,6,FALSE
"23","5_477_3",0,0.403041212816433,0.0687537172776392,NA,0.0687537172776392,0.499952406318845,0.155201144721223,0.479949193944076,0.875418930216828,0.174363583618974,1,FALSE
"24","5_482_2",0,0.347388442885855,0.0690850353676441,NA,0.0690850353676441,0.348491292274872,0.277456431332599,0.562537041592425,0.778466084859299,0.280490386718286,1,FALSE
"25","5_492_2",0,0.288574358020494,0.0698830173381614,NA,0.0698830173381614,0.360947080147893,0.639632685655991,0.892332168198718,0.111092925489346,0.39584552689677,3,TRUE
"26","5_509_2",0,0.365712705480785,0.0690434747891559,NA,0.0690434747891559,0.417093879426968,0.235070446630635,0.426329883183082,0.706828378290513,0.172809654508246,1,FALSE
"27","5_533_3",0,0.418411801702132,0.0687247330048637,NA,0.0687247330048637,0.577818696399732,0.162364209161235,0.432529565697386,0.841033937484412,0.272260840241048,1,FALSE
"28","5_551_1",0,0.239166840893215,0.0709269490908277,NA,0.0709269490908277,0.124177133015966,0.504356289376791,0.592971265085722,0.374741920957409,0.439749969494062,6,FALSE
"29","5_572_2",0,0.263877232144925,0.0704388688956892,NA,0.0704388688956892,0.162522556871297,0.267402929866273,0.497888695010124,0.25934485942924,0,6,FALSE
"30","5_582_2",0,0.295881557001449,0.0697641807621679,NA,0.0697641807621679,0.370742047766592,0.635864909683981,0.52454103954966,0.404663928161988,0.393972943168909,6,TRUE
"31","5_582_3",0,0.334898852952508,0.069348383097149,NA,0.069348383097149,0.268284537059212,0.196235018431145,0.684648786553673,0.717599595913701,0.187855481747809,1,FALSE
"32","5_612_2",0,0.29597141955981,0.0697632296527968,NA,0.0697632296527968,0.37086434391461,0.63018308094072,0.524902077778322,0.402041582807896,0.332333179667364,6,FALSE
"33","5_613_3",0,0.193699750057501,0.0719104357860262,NA,0.0719104357860262,0.0162279212838343,0.409710205835527,0.436050065172325,0.195959865560838,0.102971994508162,6,FALSE
"34","5_617_2",0,0.195067139180062,0.0715846462486997,NA,0.0715846462486997,0.0476889603294391,0.45465974944516,0.507962797528683,0.0520801569761715,0.343788055999031,6,FALSE
"35","5_620_1",0,0.211286124902254,0.0714240691506297,NA,0.0714240691506297,0.0779893106393741,0.455779034027002,0.5979233677321,0.150130063620029,0.255407272259112,6,FALSE
"36","5_627_2",0,0.252357638885267,0.0707867479993504,NA,0.0707867479993504,0.329033004513645,1,0.70059405135427,0.103592274307563,1,4,FALSE
"37","5_629_3",0,0.212609603675799,0.071177997706728,NA,0.071177997706728,0.089789125688711,0.402384560945937,0.402922317554295,0.106089562535496,0.283250972126826,6,FALSE
"38","5_639_3",0,0.241005915623631,0.0708698150442666,NA,0.0708698150442666,0.122310491823389,0.424939101871521,0.425144704320654,0.358148866469529,0.403397135506508,6,FALSE
"39","5_641_1",0,0.273886880816222,0.0701943694569229,NA,0.0701943694569229,0.240135013174954,0.466139110154243,0.558758316489195,0.353086856802238,0.381970193905416,6,FALSE
"40","5_644_3",0,0.262058037048325,0.0705990501322608,NA,0.0705990501322608,0.216549828285321,0.366007788198288,0.484598238507515,0.071137748781057,0.22027090084207,6,FALSE
"41","5_648_1",0,0.285734470144821,0.0700353697717334,NA,0.0700353697717334,0.35977457017831,0.765499242628565,0.516156072597119,0.496814658081816,0.607985063346144,4,TRUE
"42","5_652_3",0,0.334168406667222,0.0693576604729969,NA,0.0693576604729969,0.267102095615514,0.201935627735752,0.585262629324436,0.748274885961605,0.180188334794943,1,TRUE
"43","5_666_2",0,0.263700294452967,0.0704586256491803,NA,0.0704586256491803,0.221798978005071,0.460379654564798,0.928167194105377,0.102084196076715,0.219890127661847,3,FALSE
